study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
Walker_2002,Walker_2002_1,Walker_2002_1_1990s/2000_1,male,13.721804511278203,NA,NA,NA,NA,game,g/h,136.7521367521366,NA,626.8620268620267,376.06233630795396,63.56613671476271
Walker_2002,Walker_2002_1,Walker_2002_1_1990s/2000_2,male,17.781954887218053,NA,NA,NA,NA,game,g/h,145.29914529914512,NA,626.8620268620267,376.06233630795396,63.56613671476271
Walker_2002,Walker_2002_1,Walker_2002_1_1990s/2000_3,male,19.69924812030076,NA,NA,NA,NA,game,g/h,94.01709401709388,NA,626.8620268620267,376.06233630795396,63.56613671476271
Walker_2002,Walker_2002_1,Walker_2002_1_1990s/2000_39,male,19.92481203007519,NA,NA,NA,NA,game,g/h,0,NA,626.8620268620267,376.06233630795396,63.56613671476271
Walker_2002,Walker_2002_1,Walker_2002_1_1980s_40,male,11.578947368421057,NA,NA,NA,NA,game,g/h,0,NA,564.7130647130646,347.55629627703206,53.629100815963376
Walker_2002,Walker_2002_1,Walker_2002_1_1980s_41,male,13.609022556390986,NA,NA,NA,NA,game,g/h,0,NA,564.7130647130646,347.55629627703206,53.629100815963376
Walker_2002,Walker_2002_1,Walker_2002_1_1980s_42,male,14.624060150375948,NA,NA,NA,NA,game,g/h,0,NA,564.7130647130646,347.55629627703206,53.629100815963376
Walker_2002,Walker_2002_1,Walker_2002_1_1980s_43,male,15.526315789473689,NA,NA,NA,NA,game,g/h,0,NA,564.7130647130646,347.55629627703206,53.629100815963376
Walker_2002,Walker_2002_1,Walker_2002_1_1980s_44,male,15.526315789473689,NA,NA,NA,NA,game,g/h,0,NA,564.7130647130646,347.55629627703206,53.629100815963376
Walker_2002,Walker_2002_1,Walker_2002_1_1980s_45,male,16.315789473684216,NA,NA,NA,NA,game,g/h,29.91452991452975,NA,564.7130647130646,347.55629627703206,53.629100815963376
Walker_2002,Walker_2002_1,Walker_2002_1_1980s_46,male,17.21804511278196,NA,NA,NA,NA,game,g/h,42.735042735042555,NA,564.7130647130646,347.55629627703206,53.629100815963376
Walker_2002,Walker_2002_1,Walker_2002_1_1980s_47,male,18.120300751879707,NA,NA,NA,NA,game,g/h,76.92307692307674,NA,564.7130647130646,347.55629627703206,53.629100815963376
Walker_2002,Walker_2002_1,Walker_2002_1_1980s_48,male,14.511278195488728,NA,NA,NA,NA,game,g/h,64.10256410256393,NA,564.7130647130646,347.55629627703206,53.629100815963376
Walker_2002,Walker_2002_1,Walker_2002_1_1980s_49,male,15.63909774436091,NA,NA,NA,NA,game,g/h,149.57264957264942,NA,564.7130647130646,347.55629627703206,53.629100815963376
Walker_2002,Walker_2002_1,Walker_2002_1_1980s_50,male,18.233082706766922,NA,NA,NA,NA,game,g/h,153.84615384615364,NA,564.7130647130646,347.55629627703206,53.629100815963376
Walker_2002,Walker_2002_1,Walker_2002_1_1980s_51,male,19.69924812030076,NA,NA,NA,NA,game,g/h,64.10256410256393,NA,564.7130647130646,347.55629627703206,53.629100815963376
Walker_2002,Walker_2002_1,Walker_2002_1_1980s_52,male,18.796992481203016,NA,NA,NA,NA,game,g/h,0,NA,564.7130647130646,347.55629627703206,53.629100815963376
Walker_2002,Walker_2002_1,Walker_2002_1_1980s_55,male,17.781954887218053,NA,NA,NA,NA,game,g/h,320.51282051282044,NA,564.7130647130646,347.55629627703206,53.629100815963376
